# Time-averaged data for fix observables
# TimeStep v_temperature v_pressure v_potential v_volume v_rho c_Q6
323000 1.00014 7.17383 -6.64505 3816.1 1.04819 0.509222
324000 0.997362 7.13121 -6.64916 3816.79 1.04801 0.509697
325000 0.993551 7.15048 -6.64082 3818.01 1.04767 0.508697
326000 1.00289 7.16384 -6.64711 3816.06 1.04821 0.508616
327000 0.993818 7.08861 -6.64782 3819.31 1.04731 0.5089
328000 1.00576 7.04923 -6.64269 3823.75 1.0461 0.508926
329000 1.00735 7.15356 -6.64629 3816.99 1.04795 0.509093
330000 1.00629 7.01937 -6.66422 3819.07 1.04738 0.510007
331000 1.00751 7.05716 -6.63647 3825.18 1.0457 0.507965
332000 0.993662 7.12783 -6.65515 3815.11 1.04847 0.509615
333000 1.00293 6.9913 -6.64517 3825.58 1.0456 0.508458
334000 1.00596 7.07709 -6.64122 3822.57 1.04642 0.508376
335000 1.00129 7.10675 -6.63788 3821.63 1.04668 0.508422
336000 1.00789 7.00922 -6.63347 3828.94 1.04469 0.507681
337000 0.9962 7.00161 -6.64749 3823.9 1.04605 0.509062
338000 0.993589 7.06726 -6.65248 3819.17 1.04736 0.508858
339000 0.996591 7.07683 -6.64375 3821.07 1.04683 0.508531
340000 0.992935 7.02294 -6.63986 3825.17 1.04571 0.508794
341000 1.00115 7.00548 -6.64073 3826.55 1.04533 0.508685
342000 0.99205 7.04278 -6.65116 3820.87 1.04688 0.508802
343000 0.994539 7.05091 -6.64764 3821.54 1.0467 0.508609
344000 0.997557 6.9967 -6.63372 3828.76 1.04473 0.507765
345000 0.996172 6.9562 -6.64274 3828.12 1.0449 0.508164
346000 1.00051 6.96645 -6.6531 3824.71 1.04584 0.508892
347000 0.998869 7.02193 -6.64372 3824.33 1.04594 0.508568
348000 0.996271 6.91112 -6.64903 3828.7 1.04474 0.508381
349000 1.00425 6.97448 -6.63654 3829.29 1.04459 0.50814
350000 1.00305 6.97109 -6.63952 3828.83 1.04471 0.508075
351000 0.993444 6.93532 -6.64749 3827.83 1.04498 0.507814
352000 1.00742 6.97578 -6.62615 3832.71 1.04365 0.506943
353000 0.99428 6.92099 -6.6353 3832.21 1.04379 0.507428
